,0
143,West_Nile_fever
144,West_Nile_fever
145,Chikungunya
146,Dengue
147,Lyme_disease
148,Japanese_encephalitis
149,Yellow_Fever
150,Chikungunya
151,Tungiasis
152,Malaria
153,Zika
154,Rift_Valley_fever
155,Lyme_disease
156,Rift_Valley_fever
157,Chikungunya
158,Plague
159,Chikungunya
160,Japanese_encephalitis
161,Chikungunya
162,Zika
163,Dengue
164,Chikungunya
165,Plague
166,Japanese_encephalitis
167,Chikungunya
168,Japanese_encephalitis
169,Plague
170,Tungiasis
171,West_Nile_fever
172,Japanese_encephalitis
173,West_Nile_fever
174,Tungiasis
175,West_Nile_fever
176,Chikungunya
177,Lyme_disease
178,Rift_Valley_fever
179,Tungiasis
180,Chikungunya
181,Rift_Valley_fever
182,Chikungunya
183,Malaria
184,Dengue
185,Japanese_encephalitis
186,Yellow_Fever
187,Chikungunya
188,Chikungunya
189,Plague
190,Lyme_disease
191,Tungiasis
192,Japanese_encephalitis
193,Yellow_Fever
194,Yellow_Fever
195,Yellow_Fever
196,Yellow_Fever
197,Japanese_encephalitis
198,Yellow_Fever
199,Lyme_disease
200,Rift_Valley_fever
201,Dengue
202,Chikungunya
203,Yellow_Fever
204,West_Nile_fever
205,West_Nile_fever
206,Japanese_encephalitis
207,Yellow_Fever
208,Plague
209,Tungiasis
210,Malaria
211,West_Nile_fever
212,Malaria
213,Lyme_disease
214,Chikungunya
215,Chikungunya
216,Chikungunya
217,Japanese_encephalitis
218,Dengue
219,Dengue
220,Yellow_Fever
221,Japanese_encephalitis
222,Chikungunya
223,West_Nile_fever
224,Chikungunya
225,West_Nile_fever
226,West_Nile_fever
227,Plague
228,Chikungunya
229,West_Nile_fever
230,Malaria
231,Tungiasis
232,Plague
233,Tungiasis
234,Lyme_disease
235,Chikungunya
236,Yellow_Fever
237,Japanese_encephalitis
238,Dengue
239,West_Nile_fever
240,Japanese_encephalitis
241,Chikungunya
242,Tungiasis
243,Yellow_Fever
244,Lyme_disease
245,Rift_Valley_fever
246,West_Nile_fever
247,Dengue
248,West_Nile_fever
249,Japanese_encephalitis
250,Rift_Valley_fever
251,Chikungunya
252,Tungiasis
253,Plague
254,Chikungunya
255,Yellow_Fever
256,West_Nile_fever
257,Yellow_Fever
258,Malaria
259,Plague
260,West_Nile_fever
261,Lyme_disease
262,Japanese_encephalitis
263,Tungiasis
264,Tungiasis
265,Tungiasis
266,Dengue
267,Lyme_disease
268,West_Nile_fever
269,Plague
270,Dengue
271,West_Nile_fever
272,Malaria
273,Yellow_Fever
274,Japanese_encephalitis
275,Yellow_Fever
276,Tungiasis
277,Plague
278,West_Nile_fever
279,Dengue
280,Rift_Valley_fever
281,Chikungunya
282,Rift_Valley_fever
283,West_Nile_fever
284,Rift_Valley_fever
285,West_Nile_fever
286,Yellow_Fever
287,Malaria
288,Dengue
289,Dengue
290,Tungiasis
291,West_Nile_fever
292,West_Nile_fever
293,Tungiasis
294,Plague
295,Zika
296,Zika
297,West_Nile_fever
298,Yellow_Fever
299,Malaria
300,Lyme_disease
301,West_Nile_fever
302,Zika
